,property_config,city,bin,bedroom_1,bedroom_2,bedroom_3,wall_a,wall_b,wall_c
217,2 BHK,Pune,2,10.0,10.9,0.0,10.7,6.0,9.170891089108911
218,2 BHK,Pune,3,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
219,2 BHK,Pune,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
220,2 BHK,Pune,1,3.9833333333333334,6.43,0.0,8.25,7.28875,4.6
221,2 BHK,Pune,2,10.0,10.9,0.0,10.7,6.0,9.170891089108911
222,2 BHK,Pune,3,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
223,2 BHK,Pune,4,6.683193069306931,8.111115044247788,0.0,9.445239852398524,8.862295514511873,9.170891089108911
224,3 BHK,Bengaluru,1,8.15,16.4,16.8,8.55,8.555,9.11
225,3 BHK,Bengaluru,2,7.466666666666666,9.02,8.5275,7.703333333333333,6.75,9.170891089108911
226,3 BHK,Bengaluru,3,6.9990163934426235,8.055531914893615,6.87774193548387,9.908524590163935,8.83084745762712,11.014285714285714
227,3 BHK,Bengaluru,4,7.484819277108436,8.34144927536232,8.102363636363638,9.851325301204819,8.89,8.916842105263159
228,3 BHK,Bengaluru,1,8.15,16.4,16.8,8.55,8.555,9.11
229,3 BHK,Bengaluru,2,7.466666666666666,9.02,8.5275,7.703333333333333,6.75,9.170891089108911
230,3 BHK,Bengaluru,3,6.9990163934426235,8.055531914893615,6.87774193548387,9.908524590163935,8.83084745762712,11.014285714285714
231,3 BHK,Bengaluru,4,7.484819277108436,8.34144927536232,8.102363636363638,9.851325301204819,8.89,8.916842105263159
232,3 BHK,Bengaluru,1,8.15,16.4,16.8,8.55,8.555,9.11
233,3 BHK,Bengaluru,2,7.466666666666666,9.02,8.5275,7.703333333333333,6.75,9.170891089108911
234,3 BHK,Bengaluru,3,6.9990163934426235,8.055531914893615,6.87774193548387,9.908524590163935,8.83084745762712,11.014285714285714
235,3 BHK,Bengaluru,4,7.484819277108436,8.34144927536232,8.102363636363638,9.851325301204819,8.89,8.916842105263159
236,3 BHK,Bengaluru,1,8.15,16.4,16.8,8.55,8.555,9.11
237,3 BHK,Bengaluru,2,7.466666666666666,9.02,8.5275,7.703333333333333,6.75,9.170891089108911
238,3 BHK,Bengaluru,3,6.9990163934426235,8.055531914893615,6.87774193548387,9.908524590163935,8.83084745762712,11.014285714285714
239,3 BHK,Bengaluru,4,7.484819277108436,8.34144927536232,8.102363636363638,9.851325301204819,8.89,8.916842105263159
240,3 BHK,Chennai,1,6.683193069306931,8.111115044247788,8.138206278026907,9.445239852398524,8.862295514511873,9.170891089108911
